,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mossamedes,-15.1961,12.1522,63.18,89,67,7.31,AO,1631573452
1,Carnarvon,-24.8667,113.6333,50.07,87,0,9.22,AU,1631573182
2,Compiègne,49.4179,2.8261,70.09,82,96,5.64,FR,1631573456
3,Butaritari,3.0707,172.7902,82.36,77,47,16.64,KI,1631573169
4,Punta Arenas,-53.15,-70.9167,48.22,71,75,23.02,CL,1631573067
5,Aguascalientes,21.8833,-102.3,75.15,43,75,4.61,MX,1631573462
6,Howard Springs,-12.497,131.047,80.51,97,45,3.02,AU,1631573464
7,Dickinson,29.4608,-95.0513,75.94,84,40,1.99,US,1631573466
8,Rikitea,-23.1203,-134.9692,74.14,75,72,9.42,PF,1631573076
9,Mataura,-46.1927,168.8643,43.48,84,87,1.16,NZ,1631573010
10,Hermanus,-34.4187,19.2345,52.9,79,83,8.32,ZA,1631573121
11,Berlevåg,70.8578,29.0864,42.4,78,100,15.23,NO,1631573473
12,Hilo,19.7297,-155.09,82.27,67,1,10.36,US,1631573062
13,Te Anau,-45.4167,167.7167,40.98,73,43,3.78,NZ,1631573438
14,Safi,32.2994,-9.2372,71.31,86,100,12.33,MA,1631573479
15,Constitución,-35.3333,-72.4167,49.62,75,14,6.44,CL,1631573482
16,Flinders,-34.5833,150.8552,54.81,85,71,11.95,AU,1631573029
17,Penukonda,14.0833,77.5833,72.14,81,99,16.33,IN,1631573486
18,Iqaluit,63.7506,-68.5145,35.33,64,75,18.41,CA,1631573487
19,Paita,-5.0892,-81.1144,70.36,81,19,18.68,PE,1631573490
20,Noumea,-22.2763,166.4572,80.58,68,1,5.55,NC,1631573493
21,Dikson,73.5069,80.5464,40.48,86,75,21.36,RU,1631573005
22,College,64.8569,-147.8028,62.55,51,90,5.75,US,1631573126
23,Lufilufi,-13.8745,-171.5986,91.18,75,10,17.56,WS,1631573498
24,Puerto Ayora,-0.7393,-90.3518,78.76,90,69,5.99,EC,1631573109
25,Grand Gaube,-20.0064,57.6608,70.38,74,92,7.0,MU,1631573502
26,Pierre,44.3683,-100.351,65.32,88,90,6.91,US,1631573221
27,Albany,42.6001,-73.9662,72.25,73,67,6.76,US,1631573038
28,Beringovskiy,63.05,179.3167,34.74,71,95,18.05,RU,1631573507
29,Jamestown,42.097,-79.2353,67.32,94,20,1.01,US,1631572954
30,Pulandian,39.3953,121.9669,71.73,82,57,8.61,CN,1631573512
31,Arraial do Cabo,-22.9661,-42.0278,75.16,83,0,14.97,BR,1631573141
32,Cabo San Lucas,22.8909,-109.9124,88.9,79,7,8.52,MX,1631573383
33,Lebu,-37.6167,-73.65,47.77,74,1,10.31,CL,1631573095
34,Bambanglipuro,-7.95,110.2833,76.03,92,95,3.44,ID,1631573517
35,Kibala,9.1104,18.3463,73.35,94,20,0.0,TD,1631573518
36,Ushuaia,-54.8,-68.3,42.46,65,40,33.38,AR,1631572967
37,Petauke,-14.2426,31.3253,70.0,48,57,5.39,ZM,1631573524
38,Chokurdakh,70.6333,147.9167,44.4,63,89,2.77,RU,1631573129
39,Karratha,-20.7377,116.8463,70.74,67,0,5.35,AU,1631573529
40,Atuona,-9.8,-139.0333,77.9,67,32,19.73,PF,1631572964
41,Clyde River,70.4692,-68.5914,34.03,64,20,8.05,CA,1631573259
42,Samarai,-10.6167,150.6667,80.74,82,88,9.98,PG,1631573535
43,Upernavik,72.7868,-56.1549,34.36,74,100,13.87,GL,1631573262
44,Tiksi,71.6872,128.8694,43.54,87,100,2.33,RU,1631573360
45,George Town,5.4112,100.3354,77.9,89,20,0.0,MY,1631573168
46,Hearst,49.6835,-83.6665,59.25,87,100,4.83,CA,1631573543
47,Conceição do Araguaia,-8.2578,-49.2647,89.73,48,0,3.44,BR,1631573545
48,Balikpapan,-1.2675,116.8289,76.19,100,20,3.44,ID,1631573006
49,Kapaa,22.0752,-159.319,85.98,65,40,3.0,US,1631573155
50,Noyabrsk,63.1994,75.4507,40.69,94,100,14.05,RU,1631573552
51,Inongo,-1.95,18.2667,69.15,86,38,3.51,CD,1631573555
52,Saint Anthony,45.0205,-93.218,75.13,54,1,1.99,US,1631573040
53,Rocha,-34.4833,-54.3333,57.24,99,99,4.72,UY,1631573559
54,Cidreira,-30.1811,-50.2056,66.43,97,100,11.1,BR,1631573562
55,Souillac,-20.5167,57.5167,70.36,68,20,9.22,MU,1631573241
56,Bontang,0.1333,117.5,77.32,88,95,4.94,ID,1631573566
57,Maniitsoq,65.4167,-52.9,35.42,62,0,7.74,GL,1631573567
58,Najrān,17.4924,44.1277,75.85,23,3,2.21,SA,1631573572
59,Cherskiy,68.75,161.3,43.2,67,90,3.56,RU,1631573031
60,Mopipi,-21.1833,24.8833,69.22,22,0,4.09,BW,1631573576
61,Usinsk,65.9939,57.5281,32.7,88,10,5.41,RU,1631573579
62,Busselton,-33.65,115.3333,41.09,82,2,6.29,AU,1631573582
63,Sept-Îles,50.2001,-66.3821,63.12,59,75,12.66,CA,1631573060
64,Bandarbeyla,9.4942,50.8122,77.16,80,13,26.57,SO,1631573585
65,Coyhaique,-45.5752,-72.0662,44.55,61,75,5.75,CL,1631573588
66,Touros,-5.1989,-35.4608,77.9,79,3,14.83,BR,1631573300
67,Hong Kong,22.2855,114.1577,86.05,85,95,1.34,HK,1631573334
68,Havre-St-Pierre,50.2334,-63.5986,55.76,88,20,16.11,CA,1631573594
69,Mahébourg,-20.4081,57.7,70.25,68,20,9.22,MU,1631573293
70,Barrow,71.2906,-156.7887,39.22,93,90,14.97,US,1631573597
71,Saint George,37.1041,-113.5841,102.67,12,1,5.01,US,1631573600
72,Nybro,56.7446,15.9071,56.82,95,76,2.1,SE,1631573602
73,Caraquet,47.7941,-64.9386,63.18,76,26,12.5,CA,1631573606
74,Ankang,32.68,109.0172,65.48,82,0,2.8,CN,1631573359
75,Mataram,-8.5833,116.1167,74.21,82,20,3.24,ID,1631573526
76,White Oak,39.2131,-84.5994,84.2,59,1,1.01,US,1631573612
77,Shache,38.4167,77.2406,66.85,32,28,2.28,CN,1631573614
78,Moose Factory,51.2585,-80.6094,50.0,66,90,8.05,CA,1631573616
79,Dingle,10.9995,122.6711,78.55,87,91,2.93,PH,1631573139
80,Erzin,36.9559,36.2,76.01,75,0,2.06,TR,1631573619
81,Cape Town,-33.9258,18.4232,54.01,76,0,3.0,ZA,1631573265
82,Emerald,-23.5333,148.1667,64.54,20,8,18.41,AU,1631573616
83,Pangoa,-12.1167,-73.0,73.9,80,85,2.06,PE,1631573624
84,Bluff,-46.6,168.3333,44.8,58,88,4.38,NZ,1631573627
85,Nikolskoye,59.7035,30.7861,49.89,65,9,11.3,RU,1631573630
86,Egvekinot,66.3167,-179.1667,31.71,83,100,12.08,RU,1631573633
87,Fare,-16.7,-151.0167,78.08,75,16,13.42,PF,1631573636
88,Saldanha,-33.0117,17.9442,53.65,76,1,16.51,ZA,1631573639
89,Oistins,13.0667,-59.5333,82.49,78,20,6.91,BB,1631573643
90,East London,-33.0153,27.9116,65.46,76,100,12.97,ZA,1631573072
91,Isiro,2.7739,27.616,64.94,99,94,2.82,CD,1631573647
92,Dunedin,-45.8742,170.5036,41.22,83,97,6.91,NZ,1631573285
93,Avarua,-21.2078,-159.775,78.85,65,15,16.11,CK,1631573100
94,Varkala,8.7341,76.7067,78.58,89,100,6.85,IN,1631573652
95,Port Alfred,-33.5906,26.891,64.76,81,97,15.79,ZA,1631573184
96,Hobart,-42.8794,147.3294,45.27,86,20,3.0,AU,1631573025
97,Qaanaaq,77.484,-69.3632,18.5,72,18,7.85,GL,1631573656
98,Narsaq,60.9167,-46.05,39.42,53,0,5.64,GL,1631573018
99,Khatanga,71.9667,102.5,42.85,73,45,8.59,RU,1631573302
100,Haverfordwest,51.8017,-4.9691,61.34,94,100,4.5,GB,1631573662
101,Vaini,-21.2,-175.2,78.96,83,40,6.91,TO,1631573076
102,Ponta do Sol,32.6667,-17.1,72.72,75,18,10.16,PT,1631573666
103,Meulaboh,4.1363,96.1285,74.98,85,95,3.6,ID,1631573668
104,Gayéri,12.6497,0.4931,76.98,81,88,7.58,BF,1631573670
105,Fortuna,40.5982,-124.1573,80.42,70,1,3.0,US,1631573673
106,Kondoa,-4.9,35.7833,57.96,76,51,5.12,TZ,1631573675
107,Verkhnyaya Inta,65.9811,60.3094,31.69,92,68,3.44,RU,1631573678
108,Georgiyevka,43.0369,74.7114,51.84,58,0,4.47,KZ,1631573681
109,Pozoblanco,38.3791,-4.8483,66.78,71,100,6.35,ES,1631573682
110,Beyneu,45.3167,55.2,70.59,39,57,13.6,KZ,1631573685
111,Mehamn,71.0357,27.8492,41.97,79,100,13.04,NO,1631573688
112,Longyearbyen,78.2186,15.6401,30.04,86,20,3.44,SJ,1631573345
113,Wuchi,29.3786,103.023,60.04,97,98,0.38,CN,1631573692
114,Severo-Kuril'sk,50.6789,156.125,49.71,89,100,37.45,RU,1631573372
115,Bodden Town,19.2833,-81.25,87.8,75,75,5.99,KY,1631573695
116,Codrington,-38.2667,141.9667,50.76,71,100,6.76,AU,1631573698
117,Bredasdorp,-34.5322,20.0403,54.72,71,100,0.0,ZA,1631573153
118,Nanortalik,60.1432,-45.2371,38.01,81,6,17.2,GL,1631573115
119,Bira,49.0,132.4667,54.72,69,8,1.36,RU,1631573702
120,Kaitangata,-46.2817,169.8464,42.94,74,87,4.32,NZ,1631573381
121,Odienné,9.51,-7.5692,72.66,93,96,4.05,CI,1631573705
122,Hofn,64.2539,-15.2082,50.9,69,62,27.74,IS,1631573708
123,Pisco,-13.7,-76.2167,64.02,77,20,6.91,PE,1631573710
124,Vardø,70.3705,31.1107,43.45,77,100,17.92,NO,1631573713
125,Broken Hill,-31.95,141.4333,49.71,57,8,10.36,AU,1631573716
126,Erenhot,43.6475,111.9767,64.65,60,100,13.24,CN,1631573718
127,Provideniya,64.3833,-173.3,48.31,71,90,13.42,RU,1631573720
128,Tegul'det,57.3064,88.1667,38.68,89,60,8.95,RU,1631573723
129,Adrar,20.5022,-10.0711,96.26,14,17,9.8,MR,1631573725
130,Haines Junction,60.7522,-137.5108,58.95,44,100,4.61,CA,1631573728
131,Lata,40.1629,-8.3327,66.92,93,31,2.13,PT,1631573385
132,Holbeach,52.804,0.0144,58.26,85,100,1.99,GB,1631573733
133,Srednekolymsk,67.45,153.6833,50.31,63,100,6.64,RU,1631573162
134,Jiangyou,31.7667,104.7167,70.45,93,100,4.5,CN,1631573738
135,Katangli,51.7102,143.2326,50.99,65,0,9.33,RU,1631573739
136,Jacareacanga,-6.2222,-57.7528,81.45,62,72,2.13,BR,1631573741
137,Aklavik,68.2191,-135.0107,52.52,67,96,12.19,CA,1631573745
138,Klaksvík,62.2266,-6.589,54.52,88,100,17.74,FO,1631573236
139,Shenzhen,22.5455,114.0683,86.22,85,83,1.5,CN,1631573701
140,Borzya,50.3833,116.5167,48.18,81,32,6.22,RU,1631573482
141,Pinawa,50.1489,-95.8811,68.95,48,95,11.3,CA,1631573751
142,Taltal,-25.4,-70.4833,59.92,71,82,4.03,CL,1631573754
143,Feijó,-8.1642,-70.3536,81.19,65,79,2.89,BR,1631573758
144,Kahului,20.8947,-156.47,86.02,51,20,26.46,US,1631573268
145,Katsuura,35.1333,140.3,73.51,66,100,10.29,JP,1631573762
146,Lompoc,34.6391,-120.4579,92.01,68,1,10.36,US,1631573142
147,Xai-Xai,-25.0519,33.6442,65.62,78,0,8.72,MZ,1631573765
148,Matara,5.9485,80.5353,77.25,91,71,8.86,LK,1631573768
149,Hasaki,35.7333,140.8333,72.0,64,98,9.35,JP,1631573770
150,New Norfolk,-42.7826,147.0587,46.9,64,13,1.01,AU,1631573771
151,Saint-Philippe,-21.3585,55.7679,69.35,78,57,13.89,RE,1631573351
152,Palmer,42.1584,-72.3287,74.8,60,20,9.22,US,1631573117
